location,date,MinimumTotalCases
Cambodia,2/3/2020,1.0
Cook Islands,9/24/2021,1.0
Cook Islands,5/30/2021,1.0
Cook Islands,10/6/2021,1.0
Cote d'Ivoire,3/11/2020,1.0
Tonga,1/31/2022,1.0
Micronesia (country),8/2/2021,1.0
Papua New Guinea,3/20/2020,1.0
United States,1/22/2020,1.0
Mozambique,3/22/2020,1.0
