location,date,Deaths
United States,2/7/2022,905543.0
United States,2/6/2022,902635.0
United States,2/5/2022,902266.0
United States,2/4/2022,901391.0
United States,2/3/2022,897237.0
United States,2/2/2022,894996.0
United States,2/1/2022,891450.0
United States,1/31/2022,887824.0
United States,1/30/2022,885391.0
United States,1/29/2022,885059.0
